Car Make;Car Model;Year;Engine Size (L);Horsepower;Torque (lb-ft);0-60 MPH Time (seconds);Price (in USD)
Porsche;911;2022;3;379;331;4;101,200
Lamborghini;Huracan;2021;5.2;630;443;28;274,390
Ferrari;488 GTB;2022;3.9;661;561;3;333,750
Audi;R8;2022;5.2;562;406;32;142,700
McLaren;720S;2021;4;710;568;27;298,000
BMW;M8;2022;4.4;617;553;31;130,000
Mercedes-Benz;AMG GT;2021;4;523;494;38;118,500
Chevrolet;Corvette;2021;6.2;490;465;28;59,900
Ford;Mustang Shelby GT500;2022;5.2;760;625;35;81,000
Nissan;GT-R Nismo;2021;3.8;600;481;25;212,000
Aston Martin;DB11;2021;5.2;630;516;35;201,495
Bugatti;Chiron;2021;8;1500;1180;24;3,000,000
Dodge;Challenger SRT Hellcat;2022;6.2;717;656;35;61,000
Jaguar;F-Type;2022;3;296;295;54;70,100
Koenigsegg;Jesko;2021;5;1280;1015;25;2,800,000
Lexus;LC 500;2021;5;471;398;44;92,950
Lotus;Evora GT;2021;3.5;416;317;38;104,450
Maserati;GranTurismo;2021;4.7;454;384;48;150,000
Porsche;Boxster;2021;2;300;280;47;62,000
Alfa Romeo;Giulia Quadrifoglio;2022;2.9;505;443;38;78,000
Ariel;Atom;2021;2;320;243;28;75,000
Bentley;Continental GT;2021;6;626;664;36;225,000
McLaren;Artura;2022;3;671;531;3;225,000
Mercedes-AMG;SLS AMG;2021;6.2;622;468;35;248,000
Pagani;Huayra;2021;6;720;737;28;2,800,000
Polestar;1;2021;2;600;738;41;155,000
Rimac;Nevera;2022;Electric;1914;1696;185;2,400,000
Porsche;Cayman GT4;2022;4;414;309;38;100,200
Lamborghini;Aventador SVJ;2021;6.5;759;531;28;517,770
Ferrari;SF90 Stradale;2021;4;986;590;25;625,000
Audi;RS7;2022;4;591;590;35;117,000
McLaren;Artura;2021;3;671;531;3;225,000
BMW;M4;2022;3;503;479;38;72,800
Mercedes-Benz;SLS AMG;2015;6.2;622;468;32;222,000
Chevrolet;Camaro ZL1;2021;6.2;650;650;35;64,695
Ford;GT;2022;3.5;660;550;3;500,000
Nissan;370Z Nismo;2021;3.7;350;276;45;45,690
Porsche;Taycan 4S;2022;Electric Motor;562;479;38;104,000
Lamborghini;Urus;2021;4;641;626;35;218,000
Ferrari;Roma;2021;3.9;611;561;33;222,000
Audi;RS3;2022;2.5;394;369;39;57,000
McLaren;GT;2021;4;612;465;31;210,000
BMW;i8;2020;1.5 + Electric;369;420;42;148,500
Mercedes-Benz;CLS63 AMG;2019;4;603;627;34;132,000
Porsche;Cayman;2021;2;300;280;51;58,900
Lamborghini;Aventador SVJ;2021;6.5;759;531;28;518,000
Ferrari;SF90 Stradale;2021;4;986;590;25;625,000
Audi;RS3;2022;2.5;394;369;39;56,200
McLaren;570S;2021;3.8;562;443;28;192,500
BMW;M4;2022;3;503;479;38;71,800
Mercedes-Benz;AMG C63;2021;4;503;516;38;68,000
Chevrolet;Camaro SS;2021;6.2;455;455;41;42,500
Ford;Mustang GT;2022;5;460;420;43;39,000
Nissan;370Z Nismo;2021;3.7;350;276;48;46,100
Aston Martin;Vantage;2021;4;503;505;35;142,100
Lotus;Evora GT;2021;3.5;416;317;38;105,000
Porsche;Panamera;2021;2.9;325;331;51;87,200
Lamborghini;Urus;2021;4;641;627;32;218,000
Ferrari;Roma;2021;3.9;612;560;34;222,000
Audi;S5;2022;3;349;369;44;52,500
McLaren;600LT;2021;3.8;592;457;28;241,000
BMW;M5;2022;4.4;600;553;32;103,500
Aston Martin;Vantage;2022;4;503;505;35;146,000
Audi;RS5;2021;2.9;444;443;36;75,400
BMW;M2;2022;3;405;406;4;58,900
Chevrolet;Camaro SS;2021;6.2;455;455;4;42,900
Dodge;Challenger SRT Hellcat Redeye;2022;6.2;797;707;34;78,595
Ford;GT;2021;3.5;660;550;3;500,000
Jaguar;F-Type;2022;2;296;295;54;62,750
Lamborghini;Aventador;2021;6.5;770;531;29;417,826
Maserati;GranTurismo;2021;4.7;454;384;47;150,980
McLaren;Artura;2022;3;671;531;3;225,000
Mercedes-Benz;C63 AMG;2021;4;503;516;38;70,100
Nissan;370Z;2021;3.7;332;270;5;30,090
Porsche;Panamera;2022;2.9;325;331;53;88,700
Audi;TT RS;2021;2.5;394;354;36;67,600
BMW;M4;2022;3;473;406;41;72,800
Chevrolet;Corvette Stingray;2021;6.2;490;465;28;59,900
Ferrari;F8 Tributo;2021;3.9;710;568;28;274,280
Ford;Mustang Mach 1;2021;5;480;420;43;52,915
Lamborghini;Urus;2021;4;641;627;36;218,009
Porsche;718 Cayman;2022;2;300;280;45;61,000
Acura;NSX;2022;3.5;573;476;29;159,495
Aston Martin;Vantage;2022;4;503;505;35;142,086
Bentley;Continental GT;2021;6;626;664;33;219,800
Bugatti;Chiron;2022;8;1500;1180;24;3,000,000
Dodge;Challenger SRT Hellcat Redeye;2022;6.2;797;707;34;74,290
Jaguar;F-Type;2022;3;380;339;49;71,900
Koenigsegg;Jesko;2022;5;1600;1106;25;3,000,000
Lexus;LC 500;2022;5;471;398;44;92,950
Lotus;Evora GT;2021;3.5;416;317;38;105,000
Maserati;GranTurismo;2022;4.7;454;384;47;134,300
Mazda;MX-5 Miata;2021;2;181;151;65;26,830
McLaren;GT;2022;4;620;465;31;213,195
Mercedes-Benz;SLS AMG;2015;6.2;622;468;37;221,580
Pagani;Huayra;2022;6;764;738;28;2,800,000
Porsche;718 Cayman GT4;2022;4;414;309;42;100,550
Rimac;Nevera;2022;Electric;1914;1696;195;2,400,000
Rolls-Royce;Wraith;2021;6.8;624;605;44;330,000
Tesla;Roadster;2022;Electric;1000;737;19;200,000
Toyota;Supra;2022;3;382;368;39;43,090
W Motors;Fenyr Supersport;2022;3.8;800;723;27;1,700,000
Porsche;718 Cayman;2022;2;300;280;47;60,500
Lamborghini;Aventador;2021;6.5;770;531;29;522,000
Ferrari;SF90 Stradale;2021;4;986;590;25;625,000
Audi;TT RS;2022;2.5;394;354;34;67,000
McLaren;GT;2021;4;612;465;31;212,500
BMW;M4;2022;3;503;479;38;75,000
Mercedes-Benz;SL 63 AMG;2021;4;603;664;35;155,000
Chevrolet;Camaro ZL1;2021;6.2;650;650;35;64,000
Ford;GT;2022;3.5;660;550;28;500,000
Nissan;370Z;2021;3.7;332;270;47;31,015
Aston Martin;DBS Superleggera;2021;5.2;715;664;34;304,995
Bugatti;Chiron;2021;8;1500;1180;24;3,000,000
Lotus;Evora GT;2021;3.5;416;317;38;105,000
McLaren;570S;2021;3.8;562;443;32;192,500
Porsche;Panamera Turbo S E-Hybrid;2021;4;690;642;32;190,000
Lamborghini;Urus;2021;4;641;627;36;222,000
Ferrari;Roma;2021;3.9;611;561;33;222,000
Audi;RS7;2021;4;591;590;35;115,000
BMW;M2;2022;3;405;406;42;59,000
Porsche;Cayman GT4;2022;4;414;309;42;102,100
Lamborghini;Aventador;2021;6.5;730;509;29;417,826
Aston Martin;DBS Superleggera;2021;5.2;715;664;32;304,995
Bentley;Continental GT;2021;6;626;664;36;220,300
Audi;RS7;2022;4;591;590;35;114,000
Mercedes-Benz;SLS AMG;2021;6.2;622;468;37;239,100
McLaren;570S;2021;3.8;562;443;31;192,500
BMW;M2;2022;3;405;406;4;58,900
Chevrolet;Camaro ZL1;2021;6.2;650;650;35;62,500
Dodge;Challenger SRT Hellcat;2021;6.2;717;656;35;65,290
Ferrari;Portofino;2021;3.9;592;560;35;219,750
